itemValue	factValueQuestion	factValueAnswer	factTypeQuestion	factTypeAnswer
алпыс	алпыс	шестьдесят	1001	1002
алтау	алтау	шестеро	1001	1002
алты	алты	шесть	1001	1002
алтыншы	алтыншы	шестой	1001	1002
бес	бес	пять	1001	1002
бесеу	бесеу	пятеро	1001	1002
бестен үш	бестен үш	три пятых	1001	1002
бесінші	бесінші	пятый	1001	1002
бір	бір	один	1001	1002
біреу	біреу	одно	1001	1002
бірінші	бірінші	первый	1001	1002
екеу	екеу	двое	1001	1002
екі	екі	два	1001	1002
екіден бір	екіден бір	одна вторая	1001	1002
екінші	екінші	второй	1001	1002
елу	елу	пятьдесят	1001	1002
елудей	елудей	около пятидесяти	1001	1002
жетеу	жетеу	семеро	1001	1002
жетпіс	жетпіс	семьдесят	1001	1002
жеті	жеті	семь	1001	1002
жетінші	жетінші	седьмой	1001	1002
жиырма	жиырма	двадцать	1001	1002
жиырма шақты	жиырма шақты	около двадцати	1001	1002
жүз	жүз	лицо	1001	1002
жүз	жүз	сто	1001	1002
мың	мың	тысяча	1001	1002
нөл	нөл	ноль	1001	1002
он	он	десять	1001	1002
он алты	он алты	шестнадцать	1001	1002
он бес	он бес	пятнадцать	1001	1002
он бір	он бір	одиннадцать	1001	1002
он екі	он екі	двенадцать	1001	1002
он жеті	он жеті	семнадцать	1001	1002
он сегіз	он сегіз	восемнадцать	1001	1002
он тоғыз	он тоғыз	девятнадцать	1001	1002
он төрт	он төрт	четырнадцать	1001	1002
он үш	он үш	тринадцать	1001	1002
оныншы	оныншы	десятый	1001	1002
онға жуық	онға жуық	около десяти	1001	1002
отыз	отыз	тридцать	1001	1002
сегіз	сегіз	восемь	1001	1002
сегізінші	сегізінші	восьмой	1001	1002
сексен	сексен	восемьдесят	1001	1002
тоғыз	тоғыз	девять	1001	1002
тоғызыншы	тоғызыншы	девятый	1001	1002
тоқсан	тоқсан	девяносто	1001	1002
төрт	төрт	четыре	1001	1002
төртеу	төртеу	четверо	1001	1002
төрттен бір	төрттен бір	одна четвертая	1001	1002
төртінші	төртінші	четвертый	1001	1002
қырық	қырық	сорок	1001	1002
қырықтай	қырықтай	около сорока	1001	1002
үш	үш	три	1001	1002
үш бүтін оннан бір	үш бүтін оннан бір	три целых одна десятая	1001	1002
үшеу	үшеу	трое	1001	1002
үштен екі	үштен екі	две третьих	1001	1002
үшінші	үшінші	третий	1001	1002
